,irrigation_scheduling_method,location,latitude,longitude,altitude,soil_type,farm_size,experiment_date,plant_type,number_of_plants,fruit_quality,plant_yield,plant_height,water_productivity,doi_url,processed_at,relevance_score,valid
10,Deficit irrigation (70% ETc),"Melkassa Agricultural Research Center, Awash Basin, Ethiopia",8°24′N,39°21′E,1550 m,clay loam,,2022/2023,Wheat (Triticum aestivum L.),,,4710 kg ha−1,,1.44 kg m−3,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0,True
11,Deficit irrigation (55% ETc),"Melkassa Agricultural Research Center, Awash Basin, Ethiopia",8°24′N,39°21′E,1550 m,clay loam,,2022/2023,Wheat (Triticum aestivum L.),,,3590 kg ha−1,,1.26 kg m−3,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0,True
12,Deficit irrigation (40% ETc),"Melkassa Agricultural Research Center, Awash Basin, Ethiopia",8°24′N,39°21′E,1550 m,clay loam,,2022/2023,Wheat (Triticum aestivum L.),,,2670 kg ha−1,,1.09 kg m−3,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0,True
13,Single-row system at 75-cm crop row spacing with 75-cm dripline spacing,"Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,18th April 2017,Zea mays L. (Silver Queen),67000 plants ha-1,,14.31 t ha-1,,1.97 kg m-3,https://doi.org/10.2174/1874331502014010009,2025-09-12 04:03:56,8.0,True
14,Single-row system at 75-cm crop row spacing with 150-cm dripline spacing,"Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,18th April 2017,Zea mays L. (Silver Queen),67000 plants ha-1,,11.95 t ha-1,,1.65 kg m-3,https://doi.org/10.2174/1874331502014010009,2025-09-12 04:03:56,8.0,True
15,"Twin-row system, 37.5 cm apart, on 150-cm centers with 150-cm dripline spacing","Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,18th April 2017,Zea mays L. (Silver Queen),67000 plants ha-1,,14.09 t ha-1,,1.94 kg m-3,https://doi.org/10.2174/1874331502014010009,2025-09-12 04:03:56,8.0,True
16,Single-row system at 75-cm crop row spacing with 75-cm dripline spacing,"Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,3rd April 2018,Zea mays L. (Silver Queen),67000 plants ha-1,,14.31 t ha-1,,1.97 kg m-3,https://doi.org/10.2174/1874331502014010009,2025-09-12 04:03:56,8.0,True
17,Single-row system at 75-cm crop row spacing with 150-cm dripline spacing,"Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,3rd April 2018,Zea mays L. (Silver Queen),67000 plants ha-1,,11.95 t ha-1,,1.65 kg m-3,https://doi.org/10.2174/1874331502014010009,2025-09-12 04:03:56,8.0,True
18,"Twin-row system, 37.5 cm apart, on 150-cm centers with 150-cm dripline spacing","Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,3rd April 2018,Zea mays L. (Silver Queen),67000 plants ha-1,,14.09 t ha-1,,1.94 kg m-3,https://doi.org/10.2174/1874331502014010009,2025-09-12 04:03:56,8.0,True
19,Single-row system at 75-cm crop row spacing with 75-cm dripline spacing,"Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,18th April 2017,Zea mays L. (White Kokab),67000 plants ha-1,,13.93 t ha-1,,1.92 kg m-3,https://doi.org/10.2174/1874331502014010009,2025-09-12 04:03:56,8.0,True
20,Single-row system at 75-cm crop row spacing with 150-cm dripline spacing,"Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,18th April 2017,Zea mays L. (White Kokab),67000 plants ha-1,,13.93 t ha-1,,1.92 kg m-3,https://doi.org/10.2174/1874331502014010009,2025-09-12 04:03:56,8.0,True
21,"Twin-row system, 37.5 cm apart, on 150-cm centers with 150-cm dripline spacing","Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,18th April 2017,Zea mays L. (White Kokab),67000 plants ha-1,,13.93 t ha-1,,1.92 kg m-3,https://doi.org/10.2174/1874331502014010009,2025-09-12 04:03:56,8.0,True
22,Single-row system at 75-cm crop row spacing with 75-cm dripline spacing,"Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,3rd April 2018,Zea mays L. (White Kokab),67000 plants ha-1,,13.93 t ha-1,,1.92 kg m-3,https://doi.org/10.2174/1874331502014010009,2025-09-12 04:03:56,8.0,True
23,Single-row system at 75-cm crop row spacing with 150-cm dripline spacing,"Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,3rd April 2018,Zea mays L. (White Kokab),67000 plants ha-1,,13.93 t ha-1,,1.92 kg m-3,https://doi.org/10.2174/1874331502014010009,2025-09-12 04:03:56,8.0,True
24,"Twin-row system, 37.5 cm apart, on 150-cm centers with 150-cm dripline spacing","Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,3rd April 2018,Zea mays L. (White Kokab),67000 plants ha-1,,13.93 t ha-1,,1.92 kg m-3,https://doi.org/10.2174/1874331502014010009,2025-09-12 04:03:56,8.0,True
25,Alternate Partial Root Zone Irrigation (AFI),Inland River Basin of northwest China,,,,loamy sands,,1997-2000,Spring maize (Zea mays L.),5 plants/m2,,,,WUE ET: 2.80 kg/m3,https://doi.org/10.1016/j.agwat.2009.08.011,2025-09-12 04:05:45,9.0,True
26,Fixed Partial Root Zone Irrigation (FFI),Inland River Basin of northwest China,,,,loamy sands,,1997-2000,Spring maize (Zea mays L.),5 plants/m2,,,,WUE ET: 2.69 kg/m3,https://doi.org/10.1016/j.agwat.2009.08.011,2025-09-12 04:05:45,9.0,True
27,Conventional Furrow Irrigation (CFI),Inland River Basin of northwest China,,,,loamy sands,,1997-2000,Spring maize (Zea mays L.),5 plants/m2,,,,WUE ET: 2.83 kg/m3,https://doi.org/10.1016/j.agwat.2009.08.011,2025-09-12 04:05:45,9.0,True
28,Temporal Deficit Irrigation,Haihe River Basin of north China,37.8530N,114.8410E,50.1 m,loam,,2003-2007,Winter wheat (Triticum aestivum L.),,,,,WUE: 1.76 kg/m3,https://doi.org/10.1016/j.agwat.2009.08.011,2025-09-12 04:05:45,9.0,True
29,Temporal Deficit Irrigation,Yellow River Basin of north China,35.8190N,113.8530E,,,,2006-2007,Winter wheat (Triticum aestivum L.),,,,,WUE: 1.97 kg/m3,https://doi.org/10.1016/j.agwat.2009.08.011,2025-09-12 04:05:45,9.0,True
30,Temporal Deficit Irrigation,Yellow River Basin of north China,35.8190N,113.8530E,,,,2006-2007,Summer maize (Zea mays L.),,,,,WUE: 1.81 kg/m3,https://doi.org/10.1016/j.agwat.2009.08.011,2025-09-12 04:05:45,9.0,True
31,Regulated Deficit Irrigation (RDI) 55% of ETc,"Maringá, Paraná, Brazil",23º25′S,51º57′W,542 m,Nitossolo Vermelho distroférrico,,,Brassica oleracea var. italica,,,2.406 kg m-2,0.490 m,,https://doi.org/10.5539/jas.v13n12p71,2025-09-12 04:06:41,9.0,True
32,Regulated Deficit Irrigation (RDI) 70% of ETc,"Maringá, Paraná, Brazil",23º25′S,51º57′W,542 m,Nitossolo Vermelho distroférrico,,,Brassica oleracea var. italica,,,2.540 kg m-2,0.485 m,,https://doi.org/10.5539/jas.v13n12p71,2025-09-12 04:06:41,9.0,True
33,Regulated Deficit Irrigation (RDI) 85% of ETc,"Maringá, Paraná, Brazil",23º25′S,51º57′W,542 m,Nitossolo Vermelho distroférrico,,,Brassica oleracea var. italica,,,2.701 kg m-2,0.502 m,,https://doi.org/10.5539/jas.v13n12p71,2025-09-12 04:06:41,9.0,True
34,Regulated Deficit Irrigation (RDI) 100% of ETc,"Maringá, Paraná, Brazil",23º25′S,51º57′W,542 m,Nitossolo Vermelho distroférrico,,,Brassica oleracea var. italica,,,3.06 kg m-2,0.576 m,,https://doi.org/10.5539/jas.v13n12p71,2025-09-12 04:06:41,9.0,True
35,Furrow irrigation,China,,,,,,2000-2018,Wheat,,,6.1 t ha^-1,,508 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
36,Furrow irrigation,China,,,,,,2000-2018,Wheat,,,5.1 t ha^-1,,628 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
37,Furrow irrigation,China,,,,,,2000-2018,Wheat,,,5.5 t ha^-1,,636 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
38,Micro-irrigation,China,,,,,,2000-2018,Wheat,,,4.5 t ha^-1,,999 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
39,Sprinkler irrigation,China,,,,,,2000-2018,Wheat,,,4.5 t ha^-1,,999 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
40,Furrow irrigation,China,,,,,,2000-2018,Maize,,,6.4 t ha^-1,,369 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
41,Micro-irrigation,China,,,,,,2000-2018,Maize,,,9.4 t ha^-1,,369 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
42,Sprinkler irrigation,China,,,,,,2000-2018,Maize,,,7.3 t ha^-1,,390 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
43,Rainfed,China,,,,,,2000-2018,Maize,,,5.7 t ha^-1,,820 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
44,Furrow irrigation,China,,,,,,2000-2018,Rice,,,0.2 t ha^-1,,231 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
45,Micro-irrigation,China,,,,,,2000-2018,Rice,,,,,,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
46,Sprinkler irrigation,China,,,,,,2000-2018,Rice,,,,,,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
47,Rainfed,China,,,,,,2000-2018,Rice,,,,,,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
48,Furrow irrigation,China,,,,,,2000-2018,Sorghum,,,3.7 t ha^-1,,601 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
49,Micro-irrigation,China,,,,,,2000-2018,Sorghum,,,3.8 t ha^-1,,713 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
50,Sprinkler irrigation,China,,,,,,2000-2018,Sorghum,,,3.9 t ha^-1,,693 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
51,Rainfed,China,,,,,,2000-2018,Sorghum,,,5.2 t ha^-1,,805 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
52,Furrow irrigation,China,,,,,,2000-2018,Millet,,,3.5 t ha^-1,,719 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
53,Micro-irrigation,China,,,,,,2000-2018,Millet,,,3.8 t ha^-1,,705 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
54,Sprinkler irrigation,China,,,,,,2000-2018,Millet,,,4.0 t ha^-1,,712 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
55,Rainfed,China,,,,,,2000-2018,Millet,,,2.8 t ha^-1,,1528 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
56,Furrow irrigation,China,,,,,,2000-2018,Barley,,,3.7 t ha^-1,,369 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
57,Micro-irrigation,China,,,,,,2000-2018,Barley,,,2.9 t ha^-1,,660 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
58,Sprinkler irrigation,China,,,,,,2000-2018,Barley,,,2.1 t ha^-1,,1038 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
59,Rainfed,China,,,,,,2000-2018,Barley,,,3.1 t ha^-1,,1051 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
60,Furrow irrigation,China,,,,,,2000-2018,Soybeans,,,2.2 t ha^-1,,915 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
61,Micro-irrigation,China,,,,,,2000-2018,Soybeans,,,2.1 t ha^-1,,1359 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
62,Sprinkler irrigation,China,,,,,,2000-2018,Soybeans,,,2.0 t ha^-1,,1006 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
63,Rainfed,China,,,,,,2000-2018,Soybeans,,,1.8 t ha^-1,,2489 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
64,Furrow irrigation,China,,,,,,2000-2018,Potatoes,,,9.9 t ha^-1,,192 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
65,Micro-irrigation,China,,,,,,2000-2018,Potatoes,,,19.0 t ha^-1,,188 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
66,Sprinkler irrigation,China,,,,,,2000-2018,Potatoes,,,17.0 t ha^-1,,156 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
67,Rainfed,China,,,,,,2000-2018,Potatoes,,,2.9 t ha^-1,,1253 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
68,Furrow irrigation,China,,,,,,2000-2018,Sweet potatoes,,,5.1 t ha^-1,,403 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
69,Micro-irrigation,China,,,,,,2000-2018,Sweet potatoes,,,4.9 t ha^-1,,485 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
70,Sprinkler irrigation,China,,,,,,2000-2018,Sweet potatoes,,,5.2 t ha^-1,,457 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
71,Rainfed,China,,,,,,2000-2018,Sweet potatoes,,,4.3 t ha^-1,,1231 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
72,Furrow irrigation,China,,,,,,2000-2018,Cotton,,,1.4 t ha^-1,,2539 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
73,Micro-irrigation,China,,,,,,2000-2018,Cotton,,,4.5 t ha^-1,,1306 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
74,Sprinkler irrigation,China,,,,,,2000-2018,Cotton,,,1.3 t ha^-1,,2807 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
75,Rainfed,China,,,,,,2000-2018,Cotton,,,1.8 t ha^-1,,2133 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
76,Furrow irrigation,China,,,,,,2000-2018,Sugar cane,,,164.9 t ha^-1,,16 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
77,Micro-irrigation,China,,,,,,2000-2018,Sugar cane,,,200.7 t ha^-1,,13 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
78,Sprinkler irrigation,China,,,,,,2000-2018,Sugar cane,,,146.1 t ha^-1,,19 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
79,Rainfed,China,,,,,,2000-2018,Sugar cane,,,69.8 t ha^-1,,120 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
80,Furrow irrigation,China,,,,,,2000-2018,Sugar beets,,,752.3 t ha^-1,,8 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
81,Micro-irrigation,China,,,,,,2000-2018,Sugar beets,,,786.0 t ha^-1,,7 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
82,Sprinkler irrigation,China,,,,,,2000-2018,Sugar beets,,,520.9 t ha^-1,,10 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
83,Rainfed,China,,,,,,2000-2018,Sugar beets,,,52.2 t ha^-1,,72 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
84,Furrow irrigation,China,,,,,,2000-2018,Groundnuts,,,5.5 t ha^-1,,440 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
85,Micro-irrigation,China,,,,,,2000-2018,Groundnuts,,,5.0 t ha^-1,,633 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
86,Sprinkler irrigation,China,,,,,,2000-2018,Groundnuts,,,5.5 t ha^-1,,534 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
87,Rainfed,China,,,,,,2000-2018,Groundnuts,,,2.8 t ha^-1,,1669 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
88,Furrow irrigation,China,,,,,,2000-2018,Rapeseed,,,6.0 t ha^-1,,181 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
89,Micro-irrigation,China,,,,,,2000-2018,Rapeseed,,,6.0 t ha^-1,,116 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
90,Sprinkler irrigation,China,,,,,,2000-2018,Rapeseed,,,6.0 t ha^-1,,181 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
91,Rainfed,China,,,,,,2000-2018,Rapeseed,,,2.0 t ha^-1,,1435 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
92,Furrow irrigation,China,,,,,,2000-2018,Sunflower,,,3.6 t ha^-1,,829 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
93,Micro-irrigation,China,,,,,,2000-2018,Sunflower,,,6.0 t ha^-1,,694 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
94,Sprinkler irrigation,China,,,,,,2000-2018,Sunflower,,,4.5 t ha^-1,,794 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
95,Rainfed,China,,,,,,2000-2018,Sunflower,,,2.4 t ha^-1,,1504 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
96,Furrow irrigation,China,,,,,,2000-2018,Tomatoes,,,58.6 t ha^-1,,25 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
97,Micro-irrigation,China,,,,,,2000-2018,Tomatoes,,,58.7 t ha^-1,,28 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
98,Sprinkler irrigation,China,,,,,,2000-2018,Tomatoes,,,58.6 t ha^-1,,27 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
99,Rainfed,China,,,,,,2000-2018,Tomatoes,,,,,,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
100,Furrow irrigation,China,,,,,,2000-2018,Apple,,,26.1 t ha^-1,,159 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
101,Micro-irrigation,China,,,,,,2000-2018,Apple,,,20.9 t ha^-1,,200 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
102,Sprinkler irrigation,China,,,,,,2000-2018,Apple,,,21.1 t ha^-1,,219 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
103,Rainfed,China,,,,,,2000-2018,Apple,,,17.5 t ha^-1,,345 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
104,Furrow irrigation,China,,,,,,2000-2018,Tea,,,2.3 t ha^-1,,1769 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
105,Micro-irrigation,China,,,,,,2000-2018,Tea,,,2.2 t ha^-1,,1546 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
106,Sprinkler irrigation,China,,,,,,2000-2018,Tea,,,2.6 t ha^-1,,1620 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
107,Rainfed,China,,,,,,2000-2018,Tea,,,0.7 t ha^-1,,10769 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
108,Furrow irrigation,China,,,,,,2000-2018,Tobacco,,,2.6 t ha^-1,,596 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
109,Micro-irrigation,China,,,,,,2000-2018,Tobacco,,,2.2 t ha^-1,,486 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
110,Sprinkler irrigation,China,,,,,,2000-2018,Tobacco,,,2.9 t ha^-1,,622 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
111,Rainfed,China,,,,,,2000-2018,Tobacco,,,2.0 t ha^-1,,2281 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
112,Furrow irrigation,China,,,,,,2000-2018,Cabbage,,,34.7 t ha^-1,,49 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
113,Micro-irrigation,China,,,,,,2000-2018,Cabbage,,,32.7 t ha^-1,,53 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
114,Sprinkler irrigation,China,,,,,,2000-2018,Cabbage,,,35.0 t ha^-1,,48 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
115,Rainfed,China,,,,,,2000-2018,Cabbage,,,,,,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
116,Furrow irrigation,China,,,,,,2000-2018,Grapes,,,33.8 t ha^-1,,135 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
117,Micro-irrigation,China,,,,,,2000-2018,Grapes,,,33.8 t ha^-1,,115 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
118,Sprinkler irrigation,China,,,,,,2000-2018,Grapes,,,33.8 t ha^-1,,148 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
119,Rainfed,China,,,,,,2000-2018,Grapes,,,18.8 t ha^-1,,283 m^3 t^-1,https://doi.org/10.5194/essd-15-4803-2023,2025-09-12 04:14:42,8.0,True
