,altitude_numeric,latitude_decimal_degrees,longitude_decimal_degrees,plant_yield_kg_per_hectare,water_productivity_kg_per_m^3
437,1479.0,-17.7,31.066666666666663,35652.3705,27.1
438,1479.0,-17.7,31.066666666666663,20955.9735,21.2
439,1479.0,-17.7,31.066666666666663,15966.456,36.7
440,1479.0,-17.7,31.066666666666663,9434.724,29.7
441,466.7,34.333333333333336,108.4,6831.10305,2.326
442,466.7,34.333333333333336,108.4,6413.79795,2.2510000000000003
443,466.7,34.333333333333336,108.4,4055.11695,1.505
444,466.7,34.333333333333336,108.4,6223.2891,1.4220000000000002
445,466.7,34.333333333333336,108.4,5824.1277,1.385
446,466.7,34.333333333333336,108.4,3556.1652,0.93
447,466.7,34.333333333333336,108.4,7066.971149999999,2.343
448,466.7,34.333333333333336,108.4,6005.5647,2.035
449,466.7,34.333333333333336,108.4,4463.3502,1.585
450,466.7,34.333333333333336,108.4,6341.22315,1.624
451,466.7,34.333333333333336,108.4,5207.2419,1.355
452,466.7,34.333333333333336,108.4,3492.66225,1.022
453,1112.0,80.748611,390.7969444444444,17281.87425,3.19
454,1112.0,80.748611,39.79694444444444,16701.275849999998,3.07
455,1112.0,80.748611,39.79694444444444,15186.276899999995,2.8
456,1112.0,80.748611,39.79694444444444,14351.6667,2.75
457,1112.0,80.748611,39.79694444444444,13979.72085,2.74
458,211.0,30.09,74.55,2549.0,0.458
459,211.0,30.09,74.55,2183.0,0.395
460,211.0,30.09,74.55,2040.0,0.376
461,211.0,30.09,74.55,1719.0,0.319
462,211.0,30.09,74.55,2216.0,0.399
463,211.0,30.09,74.55,2530.0,0.457
464,211.0,30.09,74.55,2491.0,0.449
465,211.0,30.09,74.55,2227.0,0.402
466,211.0,30.09,74.55,1883.0,0.349
467,211.0,30.09,74.55,1996.0,0.368
468,211.0,30.09,74.55,1939.0,0.357
469,211.0,30.09,74.55,1699.0,0.315
470,560.0,22.7775,-47.2958,2500.0,0.78
471,560.0,22.7775,-47.2958,3500.0,0.61
472,560.0,22.7775,-47.2958,3000.0,0.61
473,560.0,22.7775,-47.2958,2400.0,0.78
474,560.0,22.7775,-47.2958,2000.0,0.61
475,560.0,22.7775,-47.2958,3400.0,0.78
476,560.0,22.7775,-47.2958,4200.0,0.61
477,560.0,22.7775,-47.2958,3400.0,0.61
478,560.0,22.7775,-47.2958,2900.0,0.78
479,560.0,22.7775,-47.2958,2200.0,0.61
480,560.0,22.7775,-47.2958,2600.0,0.78
481,560.0,22.7775,-47.2958,3300.0,0.61
482,560.0,22.7775,-47.2958,2600.0,0.78
483,1489.0,36.80055555555556,106.36472,42429.04245,15.74
484,1489.0,36.80055555555556,106.36472,45141.52559999999,13.74
485,1489.0,36.80055555555556,106.36472,42429.04245,15.74
486,1489.0,36.80055555555556,106.36472,39371.829,12.97
487,1489.0,36.80055555555556,106.36472,33556.77315,11.55
488,1489.0,36.80055555555556,106.36472,33819.8568,12.12
489,1489.0,36.80055555555556,106.36472,31270.66695,11.99
490,1489.0,36.80055555555556,106.36472,27442.34625,10.65
491,1489.0,36.80055555555556,106.36472,27623.78325,10.86
492,1489.0,36.80055555555556,106.36472,31143.661049999995,11.16
493,1489.0,36.80055555555556,106.36472,30390.6975,11.22
494,1489.0,36.80055555555556,106.36472,29964.32055,12.01
495,231.0,28.6391961,77.1662771,22634.26575,9.815242767333984
496,231.0,28.6391961,77.1662771,23604.9537,9.815242767333984
511,17.9,30.32,31.03,30761.0,10.011309623718262
512,17.9,30.32,31.03,33564.0,10.011309623718262
513,17.9,30.32,31.03,39729.0,10.184436798095703
514,17.9,30.32,31.03,37032.0,10.184436798095703
515,17.9,30.32,31.03,29543.0,9.966034889221191
516,17.9,30.32,31.03,32421.0,10.011309623718262
517,17.9,30.32,31.03,38390.0,10.184436798095703
518,17.9,30.32,31.03,35586.0,10.011309623718262
519,231.0,28.6391961,77.1662771,22634.26575,9.815242767333984
520,231.0,28.6391961,77.1662771,23604.9537,9.815242767333984
521,427.0,26.05,75.28,4450.0,8.594532012939453
522,427.0,26.05,75.28,3780.0,8.594532012939453
523,427.0,26.05,75.28,4140.0,8.594532012939453
524,427.0,26.05,75.28,4370.0,8.594532012939453
525,427.0,26.05,75.28,4450.0,8.594532012939453
526,427.0,26.05,75.28,3780.0,8.594532012939453
527,427.0,26.05,75.28,4140.0,8.594532012939453
528,427.0,26.05,75.28,4370.0,8.594532012939453
529,1960.0,11.175,37.02,52707.4485,9.1
530,1960.0,11.175,37.02,38011.0515,7.8
531,1200.0,6.066666666666666,37.56666666666667,38736.7995,15.4
532,1200.0,6.066666666666666,37.56666666666667,37983.83594999999,18.5
533,1200.0,6.066666666666666,37.56666666666667,26671.239,16.6
534,1200.0,6.066666666666666,37.56666666666667,38555.3625,11.6
535,1200.0,6.066666666666666,37.56666666666667,37766.11155,13.5
536,1200.0,6.066666666666666,37.56666666666667,26217.6465,11.5
537,214.0,28.6139,77.209,16238.611499999995,11.0
538,214.0,28.6139,77.209,14061.367499999998,8.848677635192871
539,214.0,28.6139,77.209,11339.8125,8.848677635192871
540,1300.0,37.63333333333333,107.5,7500.0,1.8
541,1300.0,37.63333333333333,107.5,7759.0,1.73
542,1300.0,37.63333333333333,107.5,10585.5,2.14
543,1300.0,37.63333333333333,107.5,11226.5,2.11
544,1300.0,37.63333333333333,107.5,7527.0,8.733600616455078
545,1300.0,37.63333333333333,107.5,7930.5,8.733600616455078
546,1300.0,37.63333333333333,107.5,10369.5,8.908891677856445
547,1300.0,37.63333333333333,107.5,10777.5,8.908891677856445
548,1300.0,37.63333333333333,107.5,11101.5,8.946345329284668
549,1300.0,37.63333333333333,107.5,11349.0,8.946345329284668
550,84.0,45.3167,19.8333,9879.24465,2.41
551,84.0,45.3167,19.8333,7602.210300000001,1.0
552,84.0,45.3167,19.8333,7937.86875,1.34
553,84.0,45.3167,19.8333,11693.61465,2.94
554,84.0,45.3167,19.8333,10078.82535,1.42
555,84.0,45.3167,19.8333,11067.657,2.07
556,84.0,45.3167,19.8333,8527.539,1.42
557,84.0,45.3167,19.8333,8681.76045,1.71
558,84.0,45.3167,19.8333,8146.5213,1.58
562,188.0,31.4220558,73.0923253,3212.0,1.1800000000000002
563,188.0,31.4220558,73.0923253,3707.0,1.36
566,245.0,30.910975,75.8169,90700.0,10.740839958190918
567,245.0,30.910975,75.8169,88900.0,10.740839958190918
568,245.0,30.910975,75.8169,86700.0,10.740839958190918
569,244.0,30.910528,75.8169,83400.0,10.740839958190918
570,245.0,30.910975,75.8169,74500.0,10.740839958190918
571,245.0,30.910975,75.8169,85100.0,10.740839958190918
572,245.0,30.910975,75.8169,82300.0,10.740839958190918
573,245.0,30.910975,75.8169,80500.0,10.740839958190918
574,245.0,30.910975,75.8169,73200.0,10.740839958190918
575,245.0,30.910975,75.8169,84700.0,10.740839958190918
583,1610.0,8.764167,39.00805555555556,6422.8698,3.08
584,1610.0,8.764167,39.00805555555556,6749.4564,3.17
585,1610.0,8.764167,39.00805555555556,6386.582399999999,2.76
586,1610.0,8.764167,39.00805555555556,5760.624749999999,2.71
587,1610.0,8.764167,39.00805555555556,4554.068699999999,2.7
588,1610.0,8.764167,39.00805555555556,5678.978099999999,1.83
589,1610.0,8.764167,39.00805555555556,5388.6789,1.9
590,1610.0,8.764167,39.00805555555556,5388.6789,1.73
591,1610.0,8.764167,39.00805555555556,3937.1829,0.73
592,1610.0,8.764167,39.00805555555556,6050.923949999999,1.9
593,1610.0,8.764167,39.00805555555556,6758.528249999999,2.42
594,1610.0,8.764167,39.00805555555556,5887.63065,1.7
595,1610.0,8.764167,39.00805555555556,4245.6258,0.78
596,1123.0,38.43333333333333,106.05,7751.64,2.0
597,1123.0,38.43333333333333,106.05,7245.41,1.49
598,1123.0,38.43333333333333,106.05,8758.25,1.96
599,283.0,42.1067125,-85.0796988,14681.0,8.946345329284668
600,283.0,42.1067125,-85.0796988,15183.0,8.946345329284668
601,283.0,42.1067125,-85.0796988,13740.0,8.946345329284668
602,279.0,42.0667135,-85.1360882,4127.0,8.823047637939453
603,279.0,42.0667135,-85.1360882,4315.0,8.823047637939453
604,279.0,42.0667135,-85.1360882,4356.0,8.823047637939453
605,256.0,42.0158813,-85.5477706,4127.0,8.823047637939453
606,256.0,42.0158813,-85.5477706,4315.0,8.823047637939453
607,256.0,42.0158813,-85.5477706,4356.0,8.823047637939453
608,281.0,41.799217,-85.4191482,14681.0,8.946345329284668
609,281.0,41.799217,-85.4191482,15183.0,8.946345329284668
610,281.0,41.799217,-85.4191482,13740.0,8.946345329284668
611,1810.0,29.83333333333333,52.766666666666666,5503.0,0.96
612,1810.0,29.83333333333333,52.766666666666666,4272.0,0.95
613,1810.0,29.83333333333333,52.766666666666666,4802.0,0.94
614,1810.0,29.83333333333333,52.766666666666666,4485.0,0.85
615,900.0,40.88333333333333,86.93333333333334,6218.07,2.6
616,900.0,40.88333333333333,86.93333333333334,5660.59,1.58
621,0.0,22.7775,-47.2958,2500.0,0.78
622,0.0,22.7775,-47.2958,3500.0,0.61
623,0.0,22.7775,-47.2958,3000.0,0.61
624,0.0,22.7775,-47.2958,2400.0,0.78
625,0.0,22.7775,-47.2958,2000.0,0.61
626,0.0,22.7775,-47.2958,3400.0,0.78
627,0.0,22.7775,-47.2958,4200.0,0.61
628,0.0,22.7775,-47.2958,3400.0,0.61
629,0.0,22.7775,-47.2958,2900.0,0.78
630,0.0,22.7775,-47.2958,2200.0,0.61
631,0.0,22.7775,-47.2958,2600.0,0.78
632,0.0,22.7775,-47.2958,3300.0,0.61
633,0.0,22.7775,-47.2958,2600.0,0.78
634,0.0,22.7775,-47.2958,2200.0,0.61
635,0.0,22.7775,-47.2958,2500.0,0.78
636,0.0,22.7775,-47.2958,3500.0,0.61
637,0.0,22.7775,-47.2958,3000.0,0.61
638,0.0,22.7775,-47.2958,2400.0,0.84
639,0.0,22.7775,-47.2958,2000.0,0.61
640,0.0,22.7775,-47.2958,3400.0,0.78
641,0.0,22.7775,-47.2958,4200.0,0.61
642,0.0,22.7775,-47.2958,3400.0,0.61
643,0.0,22.7775,-47.2958,2900.0,0.84
644,0.0,22.7775,-47.2958,2200.0,0.61
645,0.0,22.7775,-47.2958,2600.0,0.78
646,0.0,22.7775,-47.2958,3400.0,0.61
647,0.0,22.7775,-47.2958,3300.0,0.61
648,0.0,22.7775,-47.2958,2600.0,0.84
649,0.0,22.7775,-47.2958,2200.0,0.61
655,290.0,43.3541,-85.178,34969.260194999995,10.011372566223145
656,290.0,43.3541,-85.178,41272.38157499999,10.180791854858398
657,290.0,43.3541,-85.178,34969.260194999995,10.011372566223145
658,290.0,43.3541,-85.178,41272.38157499999,10.180791854858398
659,470.0,44.3079869,86.0549057,8015.0,1.35
666,66.0,33.1190254,-88.5916703,6594.0,8.594532012939453
667,66.0,33.1190254,-88.5916703,6607.0,8.594532012939453
668,66.0,33.1190254,-88.5916703,6591.0,8.594532012939453
669,66.0,33.1190254,-88.5916703,6587.0,8.594532012939453
670,66.0,33.1190254,-88.5916703,6595.0,8.594532012939453
671,1100.0,38.66666666666666,106.3,1678.29225,21.35
672,1100.0,38.66666666666666,106.3,1941.3759,21.35
673,1100.0,38.66666666666666,106.3,2884.8483,21.35
674,149.0,30.299944,30.02775,34690.0,10.3
675,149.0,30.299944,30.02775,33560.0,8.31
679,290.0,43.3541,-85.178,34969.260194999995,10.011372566223145
680,290.0,43.3541,-85.178,41272.38157499999,10.180791854858398
681,28.0,37.0,10.0,18461.21475,4.15
682,28.0,37.0,10.0,18805.94505,4.45
683,28.0,37.0,10.0,11802.47685,4.92
684,28.0,37.0,10.0,18805.94505,4.15
685,28.0,37.0,10.0,15276.9954,4.45
686,28.0,37.0,10.0,13281.1884,4.47
